id,Zone,Items,Status,Payment,Total_Price
7021,Dhanmondi,1 items,DELIVERED,CASH,234Tk
7022,Bashundhara,1 items,DELIVERED,CASH,559Tk
7023,Mohammadpur,4 items,DELIVERED,CASH,171Tk
7024,Dhanmondi,1 items,DELIVERED,CASH,105Tk
7025,Chattogram,1 items,DELIVERED,CASH,380Tk
7026,Dhanmondi,1 items,DELIVERED,CASH,644Tk
7027,Uttara,2 items,DELIVERED,CASH,210Tk
7028,Mirpur,1 items,DELIVERED,CASH,231Tk
7029,Mirpur,2 items,DELIVERED,CASH,78Tk
7030,Dhanmondi,1 items,DELIVERED,CASH,234Tk
7031,Dhanmondi,4 items,DELIVERED,CASH,658Tk
7032,Mirpur,2 items,DELIVERED,CASH,1050Tk
7033,Dhanmondi,1 items,DELIVERED,CASH,224Tk
7034,Gulshan/Banani,1 items,DELIVERED,CASH,187Tk
7035,Mohammadpur,1 items,DELIVERED,CASH,100Tk
7036,Dhanmondi,1 items,DELIVERED,CASH,741Tk
7037,Dhanmondi,1 items,DELIVERED,CASH,808Tk
7038,Mirpur,1 items,DELIVERED,CASH,84Tk
7039,Uttara,1 items,DELIVERED,CASH,135Tk
7040,Dhanmondi,1 items,DELIVERED,CASH,98Tk
7041,Dhanmondi,3 items,DELIVERED,CASH,283Tk
7042,Uttara,2 items,DELIVERED,CASH,214Tk
7043,Mohammadpur,1 items,DELIVERED,CASH,245Tk
7044,Dhanmondi,3 items,DELIVERED,CASH,930Tk
7045,Uttara,1 items,DELIVERED,CASH,162Tk
7046,Mohammadpur,1 items,DELIVERED,CASH,98Tk
7047,Mirpur,1 items,DELIVERED,CASH,195Tk
7048,Dhanmondi,2 items,DELIVERED,CASH,504Tk
7049,Gulshan/Banani,1 items,DELIVERED,CASH,136Tk
7050,Mirpur,2 items,DELIVERED,CASH,75Tk
7051,Uttara,1 items,DELIVERED,CASH,210Tk
7052,Dhanmondi,1 items,DELIVERED,CASH,196Tk
7053,Dhanmondi,1 items,DELIVERED,CASH,209Tk
7054,Mirpur,2 items,DELIVERED,CASH,286Tk
7055,Uttara,1 items,DELIVERED,CASH,36Tk
7056,Mohammadpur,1 items,DELIVERED,CASH,140Tk
7057,Dhanmondi,1 items,DELIVERED,CASH,455Tk
7058,Dhanmondi,2 items,DELIVERED,CASH,553Tk
7059,Mirpur,1 items,DELIVERED,CASH,325Tk
7060,Gulshan/Banani,1 items,DELIVERED,CASH,119Tk
7061,Gulshan/Banani,2 items,DELIVERED,CASH,203Tk
7062,Dhanmondi,1 items,DELIVERED,CASH,70Tk
7063,Dhanmondi,1 items,DELIVERED,CASH,65Tk
7064,Dhanmondi,1 items,DELIVERED,CASH,100Tk
7065,Mohammadpur,1 items,DELIVERED,CASH,292Tk
7066,Dhanmondi,3 items,DELIVERED,CASH,112Tk
7067,Dhanmondi,1 items,DELIVERED,CASH,250Tk
7068,Mirpur,1 items,DELIVERED,CASH,64Tk
7069,Dhanmondi,3 items,DELIVERED,CASH,790Tk
7070,Dhanmondi,1 items,DELIVERED,CASH,224Tk
7071,Dhanmondi,1 items,DELIVERED,CASH,253Tk
7072,Dhanmondi,1 items,DELIVERED,CASH,279Tk
7073,Dhanmondi,1 items,DELIVERED,CASH,320Tk
7074,Baily Road / Khilgaon,1 items,DELIVERED,CASH,572Tk
7075,Baily Road / Khilgaon,3 items,DELIVERED,CASH,915Tk
7076,Gulshan/Banani,1 items,DELIVERED,CASH,598Tk
7077,Baily Road / Khilgaon,1 items,DELIVERED,CASH,70Tk
7078,Dhanmondi,1 items,DELIVERED,CASH,196Tk
7079,Mirpur,1 items,DELIVERED,CASH,104Tk
7080,Dhanmondi,1 items,DELIVERED,CASH,952Tk
7081,Uttara,1 items,DELIVERED,CASH,220Tk
7082,Dhanmondi,1 items,DELIVERED,CASH,400Tk
7083,Mohammadpur,2 items,DELIVERED,CASH,168Tk
7084,Mohammadpur,1 items,DELIVERED,CASH,264Tk
7085,Baily Road / Khilgaon,2 items,DELIVERED,CASH,707Tk
7086,Mirpur,2 items,DELIVERED,CASH,478Tk
7087,Wari,1 items,DELIVERED,CASH,70Tk
7088,Mirpur,1 items,DELIVERED,CASH,97Tk
7089,Mohammadpur,1 items,DELIVERED,CASH,98Tk
7090,Dhanmondi,1 items,DELIVERED,CASH,279Tk
7091,Dhanmondi,1 items,DELIVERED,CASH,210Tk
7092,Uttara,1 items,DELIVERED,CASH,420Tk
7093,Dhanmondi,1 items,DELIVERED,CASH,182Tk
7094,Mohammadpur,2 items,DELIVERED,CASH,637Tk
7095,Mohammadpur,1 items,DELIVERED,CASH,126Tk
7096,Dhanmondi,1 items,DELIVERED,CASH,42Tk
7097,Mirpur,1 items,DELIVERED,CASH,104Tk
7098,Mohammadpur,1 items,DELIVERED,CASH,416Tk
7099,Dhanmondi,1 items,DELIVERED,CASH,42Tk
7100,Dhanmondi,2 items,DELIVERED,CASH,238Tk
7101,Wari,2 items,DELIVERED,CASH,1070Tk
7102,Baily Road / Khilgaon,1 items,DELIVERED,CASH,110Tk
7103,Uttara,1 items,DELIVERED,CASH,63Tk
7104,Uttara,1 items,DELIVERED,CASH,259Tk
7105,Uttara,1 items,DELIVERED,CASH,63Tk
7106,Dhanmondi,1 items,DELIVERED,CASH,133Tk
7107,Dhanmondi,1 items,DELIVERED,CASH,88Tk
7108,Dhanmondi,1 items,DELIVERED,CASH,130Tk
7109,Bashundhara,1 items,DELIVERED,CASH,196Tk
7110,Mirpur,1 items,DELIVERED,CASH,270Tk
7111,Gulshan/Banani,1 items,DELIVERED,CASH,219Tk
7112,Gulshan/Banani,2 items,DELIVERED,CASH,322Tk
7113,Mohammadpur,1 items,DELIVERED,CASH,286Tk
7114,Mirpur,2 items,DELIVERED,CASH,261Tk
7115,Dhanmondi,1 items,DELIVERED,CASH,42Tk
7116,Gulshan/Banani,1 items,DELIVERED,CASH,270Tk
7117,Mohammadpur,1 items,DELIVERED,CASH,525Tk
7118,Gulshan/Banani,2 items,DELIVERED,CASH,800Tk
7119,Dhanmondi,1 items,DELIVERED,CASH,340Tk
7120,Mohammadpur,1 items,DELIVERED,CASH,161Tk
7121,Dhanmondi,1 items,DELIVERED,CASH,893Tk
7122,Uttara,1 items,DELIVERED,CARD,320Tk
7123,Gulshan/Banani,1 items,DELIVERED,CASH,187Tk
7124,Mirpur,3 items,DELIVERED,CASH,275Tk
7125,Dhanmondi,2 items,DELIVERED,CASH,200Tk
7126,Dhanmondi,2 items,DELIVERED,CASH,525Tk
7127,Uttara,4 items,DELIVERED,CASH,570Tk
7128,Dhanmondi,1 items,DELIVERED,CASH,203Tk
7129,Dhanmondi,1 items,DELIVERED,CASH,105Tk
7130,Mirpur,3 items,DELIVERED,CASH,294Tk
7131,Dhanmondi,1 items,DELIVERED,CASH,136Tk
7132,Dhanmondi,1 items,DELIVERED,CASH,227Tk
7133,Dhanmondi,2 items,DELIVERED,CASH,832Tk
7134,Gulshan/Banani,1 items,DELIVERED,CASH,259Tk
7135,Mirpur,1 items,DELIVERED,CASH,77Tk
7136,Dhanmondi,1 items,DELIVERED,CASH,60Tk
7137,Dhanmondi,1 items,DELIVERED,CASH,42Tk
7138,Mirpur,1 items,DELIVERED,CASH,98Tk
7139,Dhanmondi,1 items,DELIVERED,CASH,140Tk
7140,Gulshan/Banani,1 items,DELIVERED,CASH,160Tk
7141,Mirpur,3 items,DELIVERED,CASH,355Tk
7142,Wari,2 items,DELIVERED,CASH,126Tk
7143,Dhanmondi,2 items,DELIVERED,CASH,524Tk
7144,Dhanmondi,1 items,DELIVERED,CASH,175Tk
7145,Bashundhara,1 items,DELIVERED,CASH,120Tk
7146,Dhanmondi,2 items,DELIVERED,CASH,493Tk
7147,Uttara,1 items,DELIVERED,CASH,230Tk
7148,Dhanmondi,1 items,DELIVERED,CASH,273Tk
7149,Uttara,2 items,DELIVERED,CASH,224Tk
7150,Gulshan/Banani,1 items,DELIVERED,CASH,259Tk
7151,Gulshan/Banani,2 items,DELIVERED,CASH,960Tk
7152,Uttara,1 items,DELIVERED,CASH,140Tk
7153,Dhanmondi,1 items,DELIVERED,CASH,399Tk
7154,Gulshan/Banani,1 items,DELIVERED,CASH,84Tk
7155,Mirpur,4 items,DELIVERED,CASH,305Tk
7156,Mirpur,1 items,DELIVERED,CASH,104Tk
7157,Dhanmondi,1 items,DELIVERED,CASH,255Tk
7158,Gulshan/Banani,1 items,DELIVERED,CASH,70Tk
7159,Baily Road / Khilgaon,2 items,DELIVERED,CASH,238Tk
7160,Baily Road / Khilgaon,1 items,DELIVERED,CASH,77Tk
7161,Mirpur,2 items,DELIVERED,CASH,728Tk
7162,Baily Road / Khilgaon,1 items,DELIVERED,CASH,270Tk
7163,Dhanmondi,2 items,DELIVERED,CASH,462Tk
7164,Uttara,1 items,DELIVERED,CASH,646Tk
7165,Dhanmondi,1 items,DELIVERED,CASH,42Tk
7166,Dhanmondi,1 items,DELIVERED,CASH,187Tk
7167,Dhanmondi,1 items,DELIVERED,CASH,322Tk
7168,Dhanmondi,2 items,DELIVERED,CASH,136Tk
7169,Dhanmondi,2 items,DELIVERED,CASH,859Tk
7170,Dhanmondi,1 items,DELIVERED,CASH,128Tk
7171,Mirpur,3 items,DELIVERED,CASH,305Tk
7172,Bashundhara,1 items,DELIVERED,CASH,98Tk
7173,Dhanmondi,2 items,DELIVERED,CASH,586Tk
7174,Dhanmondi,1 items,DELIVERED,CASH,296Tk
7175,Dhanmondi,3 items,DELIVERED,CASH,518Tk
7176,Dhanmondi,3 items,DELIVERED,CASH,777Tk
7177,Uttara,1 items,DELIVERED,CASH,247Tk
7178,Mirpur,1 items,DELIVERED,CASH,200Tk
7179,Gulshan/Banani,1 items,DELIVERED,CASH,392Tk
7180,Dhanmondi,1 items,DELIVERED,CASH,196Tk
7181,Uttara,1 items,DELIVERED,CASH,204Tk
7182,Dhanmondi,1 items,DELIVERED,CASH,84Tk
7183,Dhanmondi,2 items,DELIVERED,CASH,690Tk
7184,Mirpur,1 items,DELIVERED,CASH,160Tk
7185,Uttara,1 items,DELIVERED,CASH,260Tk
7186,Baily Road / Khilgaon,1 items,DELIVERED,CASH,175Tk
7187,Mirpur,1 items,DELIVERED,CASH,238Tk
7188,Dhanmondi,2 items,DELIVERED,CASH,175Tk
7189,Dhanmondi,1 items,DELIVERED,CASH,289Tk
7190,Dhanmondi,3 items,DELIVERED,CASH,299Tk
7191,Uttara,1 items,DELIVERED,CASH,42Tk
7192,Dhanmondi,1 items,DELIVERED,CASH,156Tk
7193,Bashundhara,1 items,DELIVERED,CASH,196Tk
7194,Uttara,1 items,DELIVERED,CASH,132Tk
7195,Gulshan/Banani,1 items,DELIVERED,CASH,136Tk
7196,Uttara,1 items,DELIVERED,CASH,147Tk
7197,Dhanmondi,1 items,DELIVERED,CASH,196Tk
7198,Bashundhara,1 items,DELIVERED,CASH,98Tk
7199,Mohammadpur,1 items,DELIVERED,CASH,105Tk
7200,Mohammadpur,1 items,DELIVERED,CASH,80Tk
7201,Mirpur,2 items,DELIVERED,CASH,195Tk
7202,Mohammadpur,1 items,DELIVERED,CASH,70Tk
7203,Mirpur,1 items,DELIVERED,CASH,280Tk
7204,Mohammadpur,1 items,DELIVERED,CASH,91Tk
7205,Mirpur,2 items,DELIVERED,CASH,364Tk
7206,Baily Road / Khilgaon,1 items,DELIVERED,CASH,630Tk
7207,Baily Road / Khilgaon,1 items,DELIVERED,CASH,98Tk
7208,Mirpur,1 items,DELIVERED,CASH,360Tk
7209,Dhanmondi,3 items,DELIVERED,CASH,525Tk
7210,Dhanmondi,3 items,DELIVERED,CASH,250Tk
7211,Dhanmondi,3 items,DELIVERED,CASH,539Tk
7212,Dhanmondi,1 items,DELIVERED,CASH,175Tk
7213,Wari,1 items,DELIVERED,CASH,966Tk
7214,Dhanmondi,2 items,DELIVERED,CASH,455Tk
7215,Uttara,3 items,DELIVERED,CASH,325Tk
7216,Dhanmondi,1 items,DELIVERED,CASH,234Tk
7217,Bashundhara,1 items,DELIVERED,CASH,72Tk
7218,Gulshan/Banani,2 items,DELIVERED,CASH,140Tk
7219,Dhanmondi,1 items,DELIVERED,CASH,252Tk
7220,Mirpur,1 items,DELIVERED,CASH,125Tk
7221,Mirpur,1 items,DELIVERED,CASH,42Tk
7222,Baily Road / Khilgaon,2 items,DELIVERED,CASH,800Tk
7223,Dhanmondi,1 items,DELIVERED,CASH,624Tk
7224,Uttara,1 items,DELIVERED,CASH,84Tk
7225,Dhanmondi,3 items,DELIVERED,CASH,617Tk
7226,Mirpur,1 items,DELIVERED,CASH,250Tk
7227,Mirpur,1 items,DELIVERED,CASH,250Tk
7228,Dhanmondi,5 items,DELIVERED,CASH,700Tk
7229,Uttara,1 items,DELIVERED,CASH,161Tk
7230,Mirpur,2 items,DELIVERED,CASH,194Tk
7231,Baily Road / Khilgaon,1 items,DELIVERED,CASH,240Tk
7232,Baily Road / Khilgaon,3 items,DELIVERED,CASH,382Tk
7233,Mohammadpur,2 items,DELIVERED,CASH,276Tk
7234,Mirpur,2 items,DELIVERED,CASH,320Tk
7235,Dhanmondi,2 items,DELIVERED,CASH,170Tk
7236,Dhanmondi,1 items,DELIVERED,CASH,210Tk
7237,Gulshan/Banani,2 items,DELIVERED,CASH,350Tk
7238,Mirpur,1 items,DELIVERED,CASH,448Tk
7239,Dhanmondi,2 items,DELIVERED,CASH,213Tk
7240,Baily Road / Khilgaon,2 items,DELIVERED,CASH,87Tk
7241,Mohammadpur,2 items,DELIVERED,CASH,64Tk
7242,Gulshan/Banani,1 items,DELIVERED,CASH,104Tk
7243,Dhanmondi,2 items,DELIVERED,CASH,455Tk
7244,Gulshan/Banani,3 items,DELIVERED,CASH,414Tk
7245,Dhanmondi,1 items,DELIVERED,CASH,108Tk
7246,Dhanmondi,2 items,DELIVERED,CASH,742Tk
7247,Mirpur,1 items,DELIVERED,CASH,130Tk
7248,Uttara,1 items,DELIVERED,CASH,249Tk
7249,Uttara,2 items,DELIVERED,CASH,196Tk
7250,Dhanmondi,2 items,DELIVERED,CASH,820Tk
7251,Mirpur,1 items,DELIVERED,CASH,32Tk
7252,Dhanmondi,1 items,DELIVERED,CASH,84Tk
7253,Dhanmondi,3 items,DELIVERED,CASH,70Tk
7254,Gulshan/Banani,2 items,DELIVERED,CASH,346Tk
7255,Dhanmondi,2 items,DELIVERED,CASH,420Tk
7256,Mirpur,2 items,DELIVERED,CASH,90Tk
7257,Dhanmondi,2 items,DELIVERED,CASH,170Tk
7258,Dhanmondi,3 items,DELIVERED,CASH,336Tk
7259,Baily Road / Khilgaon,1 items,DELIVERED,CASH,284Tk
7260,Mirpur,1 items,DELIVERED,CASH,210Tk
7261,Dhanmondi,3 items,DELIVERED,CASH,692Tk
7262,Dhanmondi,4 items,DELIVERED,CASH,790Tk
7263,Dhanmondi,2 items,DELIVERED,CASH,504Tk
7264,Dhanmondi,1 items,DELIVERED,CASH,78Tk
7265,Uttara,2 items,DELIVERED,CASH,285Tk
7266,Uttara,1 items,DELIVERED,CASH,357Tk
7267,Mohammadpur,1 items,DELIVERED,CASH,504Tk
7268,Mirpur,1 items,DELIVERED,CASH,232Tk
7269,Mirpur,2 items,DELIVERED,CASH,483Tk
7270,Dhanmondi,5 items,DELIVERED,CASH,870Tk
7271,Mohammadpur,1 items,DELIVERED,CASH,420Tk
7272,Dhanmondi,1 items,DELIVERED,CASH,70Tk
7273,Dhanmondi,1 items,DELIVERED,CASH,408Tk
7274,Uttara,1 items,DELIVERED,CASH,506Tk
7275,Mohammadpur,2 items,DELIVERED,CASH,299Tk
7276,Mirpur,1 items,DELIVERED,CASH,182Tk
7277,Mohammadpur,2 items,DELIVERED,CASH,241Tk
7278,Uttara,1 items,DELIVERED,CASH,199Tk
7279,Gulshan/Banani,1 items,DELIVERED,CASH,113Tk
7280,Dhanmondi,2 items,DELIVERED,CASH,147Tk
7281,Baily Road / Khilgaon,2 items,DELIVERED,CASH,87Tk
7282,Dhanmondi,1 items,DELIVERED,CASH,630Tk
7283,Dhanmondi,1 items,DELIVERED,CASH,230Tk
7284,Dhanmondi,1 items,DELIVERED,CASH,419Tk
7285,Dhanmondi,1 items,DELIVERED,CASH,630Tk
7286,Mohammadpur,1 items,DELIVERED,CASH,192Tk
7287,Mohammadpur,4 items,DELIVERED,CASH,105Tk
7288,Mohammadpur,1 items,DELIVERED,CASH,130Tk
7289,Uttara,1 items,DELIVERED,CASH,175Tk
7290,Gulshan/Banani,2 items,DELIVERED,CASH,350Tk
7291,Mirpur,3 items,DELIVERED,CASH,364Tk
7292,Uttara,2 items,DELIVERED,CASH,164Tk
7293,Mirpur,1 items,DELIVERED,CASH,113Tk
7294,Gulshan/Banani,1 items,DELIVERED,CASH,330Tk
7295,Mirpur,3 items,DELIVERED,CASH,658Tk
7296,Gulshan/Banani,1 items,DELIVERED,CASH,460Tk
7297,Gulshan/Banani,1 items,DELIVERED,CASH,259Tk
7298,Dhanmondi,1 items,DELIVERED,CASH,86Tk
7299,Dhanmondi,3 items,DELIVERED,CASH,553Tk
7300,Uttara,4 items,DELIVERED,CASH,1122Tk
7301,Mirpur,5 items,DELIVERED,CARD,1500Tk
7302,Dhanmondi,2 items,DELIVERED,CASH,2300Tk
7303,Dhanmondi,1 items,DELIVERED,CASH,448Tk
7304,Uttara,2 items,DELIVERED,CASH,307Tk
7305,Baily Road / Khilgaon,4 items,DELIVERED,CASH,217Tk
7306,Mohammadpur,2 items,DELIVERED,CASH,203Tk
7307,Mohammadpur,1 items,DELIVERED,CASH,245Tk
7308,Mirpur,1 items,DELIVERED,CASH,117Tk
7309,Dhanmondi,1 items,DELIVERED,CASH,279Tk
7310,Dhanmondi,3 items,DELIVERED,CASH,1320Tk
7311,Mohammadpur,1 items,DELIVERED,CASH,476Tk
7312,Dhanmondi,2 items,DELIVERED,CASH,224Tk
7313,Mirpur,1 items,DELIVERED,CASH,75Tk
7314,Dhanmondi,5 items,DELIVERED,CASH,637Tk
7315,Mohammadpur,4 items,DELIVERED,CASH,402Tk
7316,Dhanmondi,4 items,DELIVERED,CASH,532Tk
7317,Dhanmondi,1 items,DELIVERED,CASH,390Tk
7318,Dhanmondi,1 items,DELIVERED,CASH,91Tk
7319,Wari,1 items,DELIVERED,CASH,52Tk
7320,Dhanmondi,1 items,DELIVERED,CASH,186Tk
7321,Mirpur,2 items,DELIVERED,CASH,182Tk
7322,Wari,1 items,DELIVERED,CASH,300Tk
7323,Wari,1 items,DELIVERED,CASH,368Tk
7324,Dhanmondi,1 items,DELIVERED,CASH,735Tk
7325,Mirpur,2 items,DELIVERED,CASH,315Tk
7326,Mohammadpur,1 items,DELIVERED,CASH,448Tk
7327,Baily Road / Khilgaon,2 items,DELIVERED,CASH,127Tk
7328,Dhanmondi,1 items,DELIVERED,CASH,78Tk
7329,Mohammadpur,2 items,DELIVERED,CASH,412Tk
7330,Mohammadpur,2 items,DELIVERED,CASH,1530Tk
7331,Uttara,2 items,DELIVERED,CASH,168Tk
7332,Dhanmondi,1 items,DELIVERED,CASH,140Tk
7333,Bashundhara,1 items,DELIVERED,CASH,70Tk
7334,Mirpur,1 items,DELIVERED,CASH,200Tk
7335,Mirpur,1 items,DELIVERED,CASH,112Tk
7336,Uttara,1 items,DELIVERED,CASH,281Tk
7337,Dhanmondi,2 items,DELIVERED,CASH,141Tk
7338,Baily Road / Khilgaon,1 items,DELIVERED,CASH,735Tk
7339,Dhanmondi,1 items,DELIVERED,CASH,171Tk
7340,Uttara,1 items,DELIVERED,CASH,590Tk
7341,Mirpur,1 items,DELIVERED,CASH,125Tk
7342,Dhanmondi,1 items,DELIVERED,CASH,91Tk
7343,Mirpur,2 items,DELIVERED,CASH,150Tk
7344,Gulshan/Banani,2 items,DELIVERED,CASH,257Tk
7345,Dhanmondi,1 items,DELIVERED,CASH,119Tk
7346,Dhanmondi,3 items,DELIVERED,CASH,326Tk
7347,Dhanmondi,1 items,DELIVERED,CASH,161Tk
7348,Dhanmondi,2 items,DELIVERED,CASH,745Tk
7349,Dhanmondi,1 items,DELIVERED,CASH,350Tk
7350,Mirpur,2 items,DELIVERED,CASH,660Tk
7351,Mohammadpur,1 items,DELIVERED,CASH,240Tk
7352,Mirpur,1 items,DELIVERED,CASH,320Tk
7353,Baily Road / Khilgaon,1 items,DELIVERED,CASH,735Tk
7354,Uttara,1 items,DELIVERED,CASH,480Tk
7355,Gulshan/Banani,1 items,DELIVERED,CASH,490Tk
7356,Dhanmondi,1 items,DELIVERED,CASH,227Tk
7357,Mirpur,3 items,DELIVERED,CASH,160Tk
7358,Dhanmondi,1 items,DELIVERED,CASH,280Tk
7359,Mirpur,2 items,DELIVERED,CASH,140Tk
7360,Mirpur,1 items,DELIVERED,CASH,258Tk
7361,Dhanmondi,1 items,DELIVERED,CASH,154Tk
7362,Mirpur,2 items,DELIVERED,CASH,511Tk
7363,Wari,2 items,DELIVERED,CASH,970Tk
7364,Uttara,1 items,DELIVERED,CASH,213Tk
7365,Wari,1 items,DELIVERED,CASH,363Tk
7366,Gulshan/Banani,1 items,DELIVERED,CASH,795Tk
7367,Dhanmondi,1 items,DELIVERED,CASH,196Tk
7368,Dhanmondi,3 items,DELIVERED,CASH,245Tk
7369,Uttara,1 items,DELIVERED,CASH,811Tk
7370,Mohammadpur,2 items,DELIVERED,CASH,357Tk
7371,Mirpur,1 items,DELIVERED,CASH,288Tk
7372,Dhanmondi,1 items,DELIVERED,CASH,505Tk
7373,Gulshan/Banani,1 items,DELIVERED,CASH,228Tk
7374,Mohammadpur,2 items,DELIVERED,CASH,201Tk
7375,Dhanmondi,5 items,DELIVERED,CASH,504Tk
7376,Mohammadpur,1 items,DELIVERED,CASH,294Tk
7377,Dhanmondi,3 items,DELIVERED,CASH,635Tk
7378,Dhanmondi,3 items,DELIVERED,CASH,885Tk
7379,Dhanmondi,1 items,DELIVERED,CASH,294Tk
7380,Gulshan/Banani,2 items,DELIVERED,CASH,128Tk
7381,Dhanmondi,1 items,DELIVERED,CASH,196Tk
7382,Dhanmondi,3 items,DELIVERED,CASH,304Tk
7383,Mohammadpur,1 items,DELIVERED,CASH,392Tk
7384,Mohammadpur,2 items,DELIVERED,CARD,530Tk
7385,Mirpur,3 items,DELIVERED,CASH,308Tk
7386,Dhanmondi,2 items,DELIVERED,CASH,238Tk
7387,Mirpur,1 items,DELIVERED,CASH,146Tk
7388,Mirpur,1 items,DELIVERED,CASH,126Tk
7389,Mohammadpur,5 items,DELIVERED,CASH,190Tk
7390,Baily Road / Khilgaon,1 items,DELIVERED,CASH,208Tk
7391,Dhanmondi,1 items,DELIVERED,CASH,525Tk
7392,Mohammadpur,3 items,DELIVERED,CASH,469Tk
7393,Gulshan/Banani,3 items,DELIVERED,CASH,406Tk
7394,Dhanmondi,2 items,DELIVERED,CASH,286Tk
7395,Gulshan/Banani,1 items,DELIVERED,CASH,213Tk
7396,Mirpur,2 items,DELIVERED,CASH,224Tk
7397,Dhanmondi,2 items,DELIVERED,CASH,978Tk
7398,Mirpur,2 items,DELIVERED,CASH,301Tk
7399,Dhanmondi,2 items,DELIVERED,CASH,177Tk
7400,Mohammadpur,2 items,DELIVERED,CASH,530Tk
7401,Dhanmondi,1 items,DELIVERED,CASH,59Tk
7402,Mohammadpur,1 items,DELIVERED,CASH,185Tk
7403,Wari,1 items,DELIVERED,CASH,507Tk
7404,Mirpur,1 items,DELIVERED,CASH,240Tk
7405,Dhanmondi,2 items,DELIVERED,CASH,364Tk
7406,Dhanmondi,1 items,DELIVERED,CASH,70Tk
7407,Dhanmondi,1 items,DELIVERED,CASH,42Tk
7408,Dhanmondi,2 items,DELIVERED,CASH,300Tk
7409,Dhanmondi,1 items,DELIVERED,CASH,42Tk
7410,Mohammadpur,1 items,DELIVERED,CASH,250Tk
7411,Dhanmondi,1 items,DELIVERED,CASH,42Tk
7412,Mirpur,1 items,DELIVERED,CASH,45Tk
7413,Dhanmondi,1 items,DELIVERED,CASH,70Tk
7414,Wari,1 items,DELIVERED,CASH,220Tk
7415,Dhanmondi,1 items,DELIVERED,CASH,42Tk
7416,Mohammadpur,1 items,DELIVERED,CASH,104Tk
7417,Dhanmondi,4 items,DELIVERED,CASH,742Tk
7418,Dhanmondi,1 items,DELIVERED,CASH,607Tk
7419,Gulshan/Banani,2 items,DELIVERED,CASH,581Tk
7420,Mirpur,2 items,DELIVERED,CASH,204Tk
7421,Mohammadpur,3 items,DELIVERED,CASH,600Tk
7422,Dhanmondi,2 items,DELIVERED,CASH,406Tk
7423,Dhanmondi,1 items,DELIVERED,CASH,567Tk
7424,Dhanmondi,1 items,DELIVERED,CASH,147Tk
7425,Dhanmondi,1 items,DELIVERED,CASH,699Tk
7426,Dhanmondi,2 items,DELIVERED,CASH,249Tk
7427,Dhanmondi,1 items,DELIVERED,CASH,930Tk
7428,Mirpur,1 items,DELIVERED,CASH,208Tk
7429,Dhanmondi,1 items,DELIVERED,CASH,882Tk
7430,Bashundhara,2 items,DELIVERED,CASH,215Tk
7431,Dhanmondi,1 items,DELIVERED,CASH,70Tk
7432,Dhanmondi,1 items,DELIVERED,CASH,392Tk
7433,Gulshan/Banani,3 items,DELIVERED,CASH,98Tk
7434,Baily Road / Khilgaon,1 items,DELIVERED,CASH,148Tk
7435,Dhanmondi,1 items,DELIVERED,CASH,209Tk
7436,Mohammadpur,1 items,DELIVERED,CASH,360Tk
7437,Mirpur,1 items,DELIVERED,CASH,349Tk
7438,Mirpur,2 items,DELIVERED,CASH,237Tk
7439,Baily Road / Khilgaon,1 items,DELIVERED,CASH,770Tk
7440,Dhanmondi,3 items,DELIVERED,CASH,715Tk
7441,Mirpur,2 items,DELIVERED,CASH,320Tk
7442,Dhanmondi,1 items,DELIVERED,CASH,280Tk
7443,Mirpur,3 items,DELIVERED,CASH,308Tk
7444,Dhanmondi,1 items,DELIVERED,CASH,130Tk
7445,Baily Road / Khilgaon,1 items,DELIVERED,CASH,656Tk
7446,Mohammadpur,2 items,DELIVERED,CASH,236Tk
7447,Baily Road / Khilgaon,2 items,DELIVERED,CASH,960Tk
7448,Baily Road / Khilgaon,1 items,DELIVERED,CASH,658Tk
7449,Dhanmondi,1 items,DELIVERED,CASH,80Tk
7450,Baily Road / Khilgaon,2 items,DELIVERED,CASH,714Tk
7451,Baily Road / Khilgaon,1 items,DELIVERED,CASH,245Tk
7452,Gulshan/Banani,2 items,DELIVERED,CASH,171Tk
7453,Mirpur,1 items,DELIVERED,CASH,110Tk
7454,Dhanmondi,2 items,DELIVERED,CASH,604Tk
7455,Baily Road / Khilgaon,1 items,DELIVERED,CASH,160Tk
7456,Mirpur,1 items,DELIVERED,CASH,84Tk
7457,Mohammadpur,1 items,DELIVERED,CASH,168Tk
7458,Baily Road / Khilgaon,1 items,DELIVERED,CASH,112Tk
7459,Gulshan/Banani,2 items,DELIVERED,CASH,156Tk
7460,Uttara,1 items,DELIVERED,CASH,98Tk
7461,Mohammadpur,1 items,DELIVERED,CASH,585Tk
7462,Mirpur,2 items,DELIVERED,CASH,116Tk
7463,Uttara,1 items,DELIVERED,CASH,140Tk
7464,Dhanmondi,1 items,DELIVERED,CASH,140Tk
7465,Mirpur,1 items,DELIVERED,CASH,98Tk
7466,Gulshan/Banani,2 items,DELIVERED,CASH,1256Tk
7467,Mirpur,1 items,DELIVERED,CASH,84Tk
7468,Mohammadpur,2 items,DELIVERED,CASH,308Tk
7469,Baily Road / Khilgaon,1 items,DELIVERED,CASH,880Tk
7470,Uttara,1 items,DELIVERED,CASH,140Tk
7471,Baily Road / Khilgaon,2 items,DELIVERED,CASH,66Tk
7472,Baily Road / Khilgaon,1 items,DELIVERED,CASH,655Tk
7473,Dhanmondi,3 items,DELIVERED,CASH,216Tk
7474,Dhanmondi,1 items,DELIVERED,CASH,194Tk
